date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:27:33	35658/35658	---M--	200	added ('OK')	application/x-javascript	etag:%228b4a-5e49fa7b2d000%22	https://mophy.dexignzone.com/xhtml/vendor/morris/morris.min.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/morris/morris.min.js	(from https://mophy.dexignzone.com/xhtml/chart-morris.html)
20:27:33	7909/7909	---M--	200	added ('OK')	application/x-javascript	etag:%221ee5-5e4adfe088680%22	https://mophy.dexignzone.com/xhtml/js/plugins-init/morris-init.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/js/plugins-init/morris-init.js	(from https://mophy.dexignzone.com/xhtml/chart-morris.html)
20:27:33	20189/20189	---M--	200	added ('OK')	application/x-javascript	etag:%224edd-5e4adfd32e700%22	https://mophy.dexignzone.com/xhtml/js/plugins-init/chartjs-init.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/js/plugins-init/chartjs-init.js	(from https://mophy.dexignzone.com/xhtml/chart-chartjs.html)
20:27:34	40223/40223	---M--	200	added ('OK')	application/x-javascript	etag:%229d1f-5e49fded53140%22	https://mophy.dexignzone.com/xhtml/vendor/chartist/js/chartist.min.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/chartist/js/chartist.min.js	(from https://mophy.dexignzone.com/xhtml/chart-chartist.html)
20:27:34	3039/3039	---M--	200	added ('OK')	application/x-javascript	etag:%22bdf-5e49fdf30bec0%22	https://mophy.dexignzone.com/xhtml/vendor/chartist-plugin-tooltips/js/chartist-plugin-tooltip.min.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/chartist-plugin-tooltips/js/chartist-plugin-tooltip.min.js	(from https://mophy.dexignzone.com/xhtml/chart-chartist.html)
20:27:34	22336/22336	---M--	200	added ('OK')	application/x-javascript	etag:%225740-5e4adfd052040%22	https://mophy.dexignzone.com/xhtml/js/plugins-init/chartist-init.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/js/plugins-init/chartist-init.js	(from https://mophy.dexignzone.com/xhtml/chart-chartist.html)
20:27:35	6623/6623	---M--	200	added ('OK')	application/x-javascript	etag:%2219df-5e4adfea11d00%22	https://mophy.dexignzone.com/xhtml/js/plugins-init/sparkline-init.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/js/plugins-init/sparkline-init.js	(from https://mophy.dexignzone.com/xhtml/chart-sparkline.html)
20:27:35	62675/62675	---M--	200	added ('OK')	application/x-javascript	etag:%22f4d3-5e49fa70af740%22	https://mophy.dexignzone.com/xhtml/vendor/jquery-sparkline/jquery.sparkline.min.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/jquery-sparkline/jquery.sparkline.min.js	(from https://mophy.dexignzone.com/xhtml/chart-sparkline.html)
20:27:35	5072/5072	---M--	200	added ('OK')	application/x-javascript	etag:%2213d0-5e4adfe641400%22	https://mophy.dexignzone.com/xhtml/js/plugins-init/piety-init.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/js/plugins-init/piety-init.js	(from https://mophy.dexignzone.com/xhtml/chart-peity.html)
20:27:36	9884/9884	---M--	200	added ('OK')	image/jpeg	etag:%22269c-5e49fb169fec0%22	https://mophy.dexignzone.com/xhtml/images/avatar/7.jpg	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/avatar/7.jpg	(from https://mophy.dexignzone.com/xhtml/ui-media-object.html)
